index,latitude,longitude,area(m²),bioma
147,-13.955,-50.335,3586549.9467397304,Cerrado
148,-14.0,-57.62,1195280.4320622152,Cerrado
149,-14.019545,-57.610455,5975894.7484346675,Cerrado
150,-14.025,-45.745,3585486.079345121,Cerrado
151,-14.035,-45.73,2390205.504650384,Cerrado
152,-14.205,-58.761667,16719732.037788644,Cerrado
153,-14.305,-58.095,3581178.204388958,Cerrado
154,-14.31,-59.185,2387383.0841728537,Cerrado
155,-14.351667,-45.885,5967472.043965733,Cerrado
156,-14.375,-58.385,3580036.102135798,Cerrado
157,-14.38,-45.2,1193328.0212437636,Cerrado
158,-14.39,-45.19,1193275.9472243893,Cerrado
159,-14.455,-58.085,3578783.6192103205,Cerrado
160,-14.515,-59.18,4770540.588987004,Cerrado
161,-14.53,-59.19,1192543.1720678443,Cerrado
162,-14.575,-55.81166700000001,5961557.129641683,Cerrado
163,-14.625,-52.41,4768167.814677618,Cerrado
164,-14.62,-52.205,2384136.8357475405,Cerrado
165,-14.67,-58.78,1191803.4200018083,Cerrado
166,-14.71,-52.085,4766363.125087521,Cerrado
167,-14.725,-52.7,2383021.7811149512,Cerrado
168,-14.86,-46.725,2381576.6348175863,Cerrado
169,-14.876429000000002,-46.715,3572095.97073122,Cerrado
170,-14.976429,-44.415,3570475.9317209413,Cerrado
171,-14.99,-52.165,2380172.7551353932,Cerrado
172,-15.01,-54.62,3569933.5610290607,Cerrado
173,-15.016429,-48.895,3569824.930530058,Cerrado
174,-15.04,-48.895,2379629.602648049,Cerrado
175,-15.045,-52.33,4759204.783454455,Cerrado
176,-15.095,-54.625,3568517.811365093,Cerrado
177,-15.195,-45.375,3566929.275681498,Cerrado
178,-15.2,-45.36,1188939.7887755008,Cerrado
179,-15.21,-45.35,1188884.7985932108,Cerrado
180,-15.235,-48.37,2377494.3266754267,Cerrado
181,-15.24,-54.71,1188719.6149836287,Cerrado
182,-15.245,-48.39,2377384.097747176,Cerrado
183,-15.25,-54.695,2377328.965533666,Cerrado
184,-15.275,-54.12,2377052.9849125748,Cerrado
185,-15.29,-54.13,1188443.598864864,Cerrado
186,-15.31,-46.795,2376665.8878217214,Cerrado
187,-15.4,-54.075,2375666.479369059,Cerrado
188,-16.01,-51.575,2368741.288787336,Cerrado
189,-16.02,-53.535,2368625.5644150474,Cerrado
190,-16.025,-51.6,2368567.666823232,Cerrado
191,-16.02,-51.555,2368625.5644150474,Cerrado
192,-16.165,-51.69,2366939.597050804,Cerrado
193,-16.22,-55.085,2366296.211982737,Cerrado
194,-16.275,-55.175,3548505.3947545686,Cerrado
195,-16.44,-46.115,2363701.239864587,Cerrado
196,-16.63,-54.685,2361432.594430026,Cerrado
197,-16.86,-46.7,1179326.1131026682,Cerrado
198,-16.87,-46.69,1179265.2467925416,Cerrado
199,-17.086429000000006,-44.830714,5889709.606598233,Cerrado
200,-17.23,-50.36,1177050.5737603044,Cerrado
201,-17.24,-50.37,1176988.40302184,Cerrado
202,-17.24,-47.58,3530965.20906333,Cerrado
203,-17.27,-50.54,1176801.6794479762,Cerrado
204,-17.28,-50.53,1176739.3678086104,Cerrado
205,-17.325,-50.24100000000001,7058688.557821686,Cerrado
206,-17.33,-50.525,4705709.090121562,Cerrado
207,-17.36,-54.17,1176239.6068758136,Cerrado
208,-17.34,-54.68666700000001,12939761.405477228,Cerrado
209,-17.36,-54.081667,7057437.57083236,Cerrado
210,-17.54,-50.095,2350213.8140618084,Cerrado
211,-17.616429,-50.045,3523862.984596333,Cerrado
212,-17.62,-47.19,1174599.825430721,Cerrado
213,-17.655,-54.215,3523163.6194756567,Cerrado
214,-17.7,-53.185,2348180.9859251804,Cerrado
215,-17.765,-50.175,4694699.996390051,Cerrado
216,-17.84,-50.2,1173193.7473374016,Cerrado
217,-17.845,-50.215,3519452.608347373,Cerrado
218,-17.85,-49.57,5865647.117393624,Cerrado
219,-18.205,-50.055,3512437.4916392993,Cerrado
220,-18.281154,-52.605769,8192182.372112401,Cerrado
221,-18.52,-53.275,2337480.4882427063,Cerrado
222,-18.525,-51.648333,4674894.274054347,Cerrado
223,-18.733,-52.799,9338387.364306878,Cerrado
224,-18.81625,-52.93875,4666963.48013813,Cerrado
225,-18.825,-51.115,3500104.069355628,Cerrado
226,-18.82,-51.0,1166723.940638114,Cerrado
227,-18.84,-51.11,1166588.400529028,Cerrado
228,-19.03,-54.82,1165293.7933093815,Cerrado
229,-19.04,-54.81,1165225.3065205538,Cerrado
230,-19.0675,-52.71,5825235.330783227,Cerrado
231,-19.09,-52.72,1164882.348448499,Cerrado
232,-19.175,-52.955,3492926.4208675325,Cerrado
233,-19.23,-48.61,1163917.4199256753,Cerrado
234,-19.24,-48.62,1163848.234555554,Cerrado
235,-19.255,-52.59,4655046.801910143,Cerrado
236,-19.25,-48.61,1163779.0142759187,Cerrado
237,-19.845,-56.931667,15074733.37310766,Cerrado
238,-20.12625,-56.62875,4630276.738612559,Cerrado
239,-20.33,-46.7,1156098.0982730277,Cerrado
240,-20.525,-45.575,4618672.123882737,Cerrado
241,-21.062778,-56.831667,25315039.54633286,Cerrado
242,-21.11,-56.79,1150298.7545849043,Cerrado
243,-21.12,-56.8,1150223.0361105478,Cerrado
0,-30.596429,-52.755,3189644.216751252,Pampa
1,-30.75,-54.985,2123123.7286763075,Pampa
2,-30.955,-54.115,4237360.586375148,Pampa
3,-31.175,-53.645,4227763.051239331,Pampa
4,-31.530882,-53.791471,10530471.71821996,Pampa
0,-17.355,-56.415,3528844.007356442,Pantanal
1,-18.665,-57.495,4671078.507239648,Pantanal
2,-19.23,-57.205,2327834.839853541,Pantanal
3,-19.496429,-57.935,3486181.589894568,Pantanal
4,-19.63,-57.8,1161122.7904870429,Pantanal
5,-19.636111,-57.869444,4644279.420358695,Pantanal
6,-19.64,-57.835,2322104.419915165,Pantanal
7,-19.64,-57.785,2322104.4199129744,Pantanal
8,-19.65,-57.85,1160981.5945810378,Pantanal
9,-20.88,-57.88,1152030.7305946029,Pantanal
