,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
145,-5.65,-46.21,Cerrado,1225086.2694327568,0.0,0.0,1.0
146,-5.65,-45.485,Cerrado,2450172.5388655136,0.0,0.0,1.0
147,-5.655,-45.425,Cerrado,3675238.197675352,0.0,0.0,1.0
148,-5.65,-43.46,Cerrado,1225086.269433852,0.0,0.0,1.0
149,-5.665,-46.195,Cerrado,3675176.329442565,0.0,0.0,1.0
150,-5.66,-44.83,Cerrado,1225065.658809838,0.0,0.0,1.0
151,-5.659286,-43.667857,Cerrado,18376005.16553692,0.0,0.0,1.0
152,-5.67,-44.83,Cerrado,1225045.011826174,0.0,0.0,1.0
153,-5.6670000000000025,-43.38399999999999,Cerrado,28176509.46180387,0.0,0.0,1.0
154,-5.675,-42.29,Cerrado,2450069.3403123184,0.0,0.0,
155,-5.68,-43.33,Cerrado,1225024.32848724,0.0,0.0,1.0
156,-5.6770000000000005,-42.261,Cerrado,11025342.947355146,0.0,0.0,
157,-5.69,-45.31,Cerrado,1225003.6087941322,0.0,0.0,1.0
158,-5.691429,-43.622143,Cerrado,23274964.35058777,0.0,0.0,1.0
159,-5.69,-43.35,Cerrado,1225003.6087941322,0.0,0.0,1.0
160,-5.7104550000000005,-45.385,Cerrado,12249558.080787968,0.0,0.0,1.0
161,-5.692143,-44.825952,Cerrado,41649768.31925567,0.0,0.0,1.0
162,-5.71,-44.84,Cerrado,1224962.0603399174,0.0,0.3,1.0
163,-5.72,-45.32,Cerrado,1224941.2315820963,0.0,0.0,1.0
164,-5.72,-43.385,Cerrado,2449882.463164193,0.0,0.0,1.0
165,-5.725,-42.23,Cerrado,2449861.598052198,0.0,0.0,
166,-5.713125,-46.22875,Cerrado,22049108.14419146,0.0,0.0,1.0
167,-5.73,-42.2,Cerrado,3674761.099410305,0.0,0.0,
168,-5.737222,-45.346111,Cerrado,8574317.08379411,0.0,0.0,1.0
169,-5.755,-45.315,Cerrado,4899472.160400655,0.0,0.0,1.0
170,-5.76,-43.305,Cerrado,2449715.106029096,0.0,0.0,1.0
171,-5.629706,-45.548235,Cerrado,329559428.8525036,0.0,0.0,1.0
172,-5.77,-45.81,Cerrado,1224836.5424924279,0.0,0.0,1.0
173,-5.77,-45.79,Cerrado,3674509.627476189,0.0,0.0,1.0
174,-5.77,-45.59,Cerrado,1224836.5424913326,0.0,0.0,1.0
175,-5.77,-44.965,Cerrado,2449673.0849848557,0.0,0.0,1.0
176,-5.775,-43.77,Cerrado,2449652.038109657,0.0,0.0,1.0
177,-5.77,-42.81,Cerrado,1224836.5424924279,0.0,0.0,1.0
178,-5.78,-42.6475,Cerrado,8573708.396612255,0.0,0.0,1.0
179,-5.78,-42.82,Cerrado,1224815.4956161336,0.0,0.0,1.0
180,-5.78,-42.8,Cerrado,1224815.495617229,0.0,0.0,1.0
181,-5.7883330000000015,-45.786111,Cerrado,44093123.63661746,0.0,0.0,1.0
182,-5.794231,-43.455,Cerrado,12247880.656133305,0.0,0.0,1.0
183,-5.795,-43.325,Cerrado,7348703.042916338,0.0,0.0,1.0
184,-5.805,-48.075,Cerrado,7348597.445042413,0.0,0.0,1.0
185,-5.811667,-46.995,Cerrado,6123781.804022725,0.0,0.0,1.0
186,-5.8,-46.17,Cerrado,1224773.2928163563,0.0,0.0,1.0
187,-5.8,-46.15,Cerrado,1224773.2928163563,0.0,0.0,1.0
188,-5.8,-46.04,Cerrado,1224773.2928163563,0.0,0.0,1.0
189,-5.8,-44.135,Cerrado,2449546.585632713,0.0,0.0,1.0
190,-5.81,-46.16,Cerrado,1224752.1368873974,0.0,0.0,1.0
191,-5.817381,-45.035476,Cerrado,26944270.930376753,0.0,0.0,1.0
192,-5.821667,-43.228333,Cerrado,8573095.310974004,0.0,0.0,1.0
193,-5.815,-43.115,Cerrado,3674235.218391107,0.0,0.0,1.0
194,-5.825,-46.04,Cerrado,2449440.660602984,0.0,0.0,1.0
195,-5.82,-43.46,Cerrado,1224730.944615217,0.0,0.0,1.0
196,-5.835,-44.155,Cerrado,3674107.882991532,0.0,0.0,1.0
197,-5.83,-42.61,Cerrado,3674129.1479665856,0.0,0.0,1.0
198,-5.84,-44.18,Cerrado,1224688.4510138093,0.0,0.0,1.0
199,-5.84,-44.14,Cerrado,1224688.4510138093,0.0,0.0,1.0
200,-5.84,-43.21,Cerrado,1224688.4510149043,0.0,0.0,1.0
201,-5.807174,-46.034565,Cerrado,37967461.20897364,0.0,0.0,1.0
202,-5.85,-47.405,Cerrado,7348002.825464862,0.0,0.0,1.0
203,-5.839412,-45.960294,Cerrado,48987615.5400494,0.0,0.0,1.0
204,-5.855,-47.365,Cerrado,4898625.923432863,0.0,0.0,1.0
205,-5.843333,-45.666667,Cerrado,17145616.61306238,0.0,0.0,1.0
206,-5.87,-44.225,Cerrado,13470868.381930076,0.0,0.0,1.0
207,-5.855,-43.751667,Cerrado,6123293.0731283985,0.0,0.0,1.0
208,-5.85,-43.37,Cerrado,1224667.149693345,0.0,0.0,1.0
209,-5.85,-43.06,Cerrado,1224667.14969444,0.0,0.0,1.0
210,-5.865,-46.06,Cerrado,2449270.2500348855,0.0,0.0,1.0
211,-5.86,-45.97,Cerrado,1224645.8120252774,0.0,0.0,1.0
212,-5.86,-43.38,Cerrado,1224645.8120252774,0.0,0.0,1.0
213,-5.865,-43.355,Cerrado,3673894.688042303,0.0,0.0,1.0
