,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
304,-12.675,-55.100714,Amazonia,4806785.754208783,0.0,0.0,0.53
305,-12.67,-51.97,Amazonia,1201707.9302277265,0.0,0.0,0.53
306,-12.68,-52.005,Amazonia,2403323.927055589,0.0,0.0,0.53
307,-12.71,-56.9,Amazonia,1201523.8485657605,0.0,0.0,0.53
308,-12.72,-56.9,Amazonia,1201477.7386287174,0.0,0.0,0.53
309,-12.724231,-56.895768999999994,Amazonia,15618749.001485055,0.0,0.0,0.53
310,-12.82,-56.84,Amazonia,1201014.67003552,0.0,0.0,0.53
311,-12.83,-57.44,Amazonia,1200968.1662780195,0.0,0.0,0.46
312,-12.835,-57.4,Amazonia,2401889.7930051424,0.0,0.0,0.46
313,-12.835,-56.85,Amazonia,2401889.7930073333,0.0,0.0,0.53
314,-12.84,-57.43,Amazonia,1200921.626726027,0.0,0.0,0.46
315,-12.84,-56.97,Amazonia,1200921.626726027,0.0,0.0,0.53
316,-12.865,-57.25833299999999,Amazonia,6004002.260434632,0.0,0.0,0.46
317,-12.86,-56.85,Amazonia,1200828.44024514,0.0,0.0,0.53
318,-12.88,-54.15,Amazonia,1200735.110590667,0.0,0.0,0.53
319,-12.885,-61.625,Amazonia,4802847.005351007,0.0,0.0,0.48
320,-12.9,-54.155,Amazonia,4802566.515350137,0.0,0.0,0.53
321,-12.9,-56.965,Amazonia,2401283.2755668373,0.0,0.0,0.53
322,-12.905,-54.225,Amazonia,3601831.333179248,0.0,0.0,0.53
323,-12.9,-52.715,Amazonia,2401283.2755646473,0.0,0.0,0.53
324,-12.91,-52.76,Amazonia,1200594.8476973672,0.0,0.0,0.53
325,-12.909,-52.43899999999999,Amazonia,6002974.202701108,0.0,0.0,0.53
326,-12.925,-52.7125,Amazonia,6002646.3858085275,0.0,0.0,0.53
327,-12.93,-52.45,Amazonia,1200501.1601691707,0.0,0.0,0.53
328,-13.0,-52.705,Amazonia,4800688.50667651,0.0,0.0,0.53
329,-13.025,-54.175,Amazonia,3600186.1658367505,0.0,0.0,0.53
330,-13.02,-52.92,Amazonia,1200077.7950952798,0.0,0.0,0.53
331,-13.03,-52.93,Amazonia,1200030.5756450957,0.0,0.0,0.53
332,-13.04,-52.66,Amazonia,1199983.3204245158,0.0,0.0,0.53
333,-13.043,-57.265,Amazonia,11999596.606194455,0.0,0.0,0.46
334,-13.045,-52.92,Amazonia,2399919.349858056,0.0,0.0,0.53
335,-13.08,-55.125,Amazonia,2399587.883654573,0.0,0.0,0.53
336,-13.08,-55.085,Amazonia,2399587.8836523825,0.0,0.0,0.53
337,-13.08,-54.245,Amazonia,2399587.8836523825,0.0,0.0,0.53
338,-13.1,-55.12,Amazonia,1199699.0379216315,0.0,0.0,0.53
339,-13.110999999999999,-54.793,Amazonia,10796911.22494348,0.0,0.0,0.53
340,-13.1,-53.885,Amazonia,2399398.075845454,0.0,0.0,0.53
341,-13.092917,-54.905832999999994,Amazonia,32394102.209083315,0.0,0.0,0.53
342,-13.115,-54.945,Amazonia,7197718.8138686735,0.0,0.0,0.53
343,-13.17,-56.95,Amazonia,1199365.7476995958,0.0,0.0,0.53
344,-13.17,-56.93,Amazonia,1199365.7476985005,0.0,0.0,0.53
345,-13.175,-56.48,Amazonia,2398683.739469741,0.0,0.0,0.53
346,-13.185,-54.415,Amazonia,4797176.383715937,0.0,0.0,0.53
347,-13.18,-53.32,Amazonia,3597953.975313721,0.0,0.0,0.53
348,-13.180454999999998,-56.45409100000001,Amazonia,9594400.523363514,0.0,0.0,0.53
349,-13.21,-55.12,Amazonia,1199174.5094568979,0.0,0.0,0.53
350,-13.21,-55.1,Amazonia,1199174.5094547076,0.0,0.0,0.53
351,-13.206429,-54.325,Amazonia,3597571.3915598537,0.0,0.0,0.53
352,-13.22,-56.86,Amazonia,1199126.6105093902,0.0,0.0,0.53
353,-13.217726999999998,-52.430455,Amazonia,7194855.389445615,0.0,0.0,0.53
354,-13.23,-56.845,Amazonia,2398157.351624594,0.0,0.0,0.53
355,-13.229000000000001,-55.108999999999995,Amazonia,7194424.048674231,0.0,0.0,0.53
356,-13.24,-57.075,Amazonia,2398061.410726855,0.0,0.0,0.46
357,-13.25,-57.055,Amazonia,2397965.3983321358,0.0,0.0,0.46
